SimTime,TTI,ActiveAgents,WaitingReroute,CompletedTrips,DynamicReroutes,BlackZones,RedZones,YellowZones,RouterRPS,SavedDuplicates,RouterLoad,GreenZones,VisitedNodes,RouteCycles,WaitingSpawn,RouteTimeMaxUs,RouteTimeAvgUs,RouterWaitTimeUs
28995,5.4958,200000,26117,991184,575382,27,2955,1412,742.1,3986566,0.9989,35906,64069.4,40132500.0,8446,170419,11872.9,2940591241
29015,7.4172,200000,26126,991645,576400,27,2955,1411,788.0,3988738,0.999,35987,61377.7,39937700.0,8465,109093,10153.3,2942802759
29025,6.0102,200000,26034,991875,577029,27,2956,1408,764.9,3989859,0.9989,36102,58635.2,37667600.0,8358,123660,9834.61,2943722993
29045,6.1256,200000,26198,992354,578034,27,2957,1409,811.9,3992039,0.9989,36083,61954.6,42390200.0,8366,150319,10683.6,2945765751
29055,5.5348,200000,26151,992570,578588,26,2959,1413,809.6,3993387,0.9989,35963,65194.5,41888900.0,8326,149749,11793.2,2946764368
29065,6.3114,200000,25996,992807,579174,26,2966,1409,758.9,3994548,0.9989,36109,57352.1,36186600.0,8334,156752,10059.3,2947703310
29075,6.3448,200000,26025,993049,579718,26,2961,1417,763.7,3995596,0.999,36048,62221.2,39098600.0,8337,120384,10218.9,2948822682
29095,6.3428,200000,26076,993506,580759,26,2960,1417,807.7,3997737,0.999,35980,68420.7,47092800.0,8339,127422,11326.1,2950818146
29105,6.2913,200000,25845,993722,581429,26,2960,1421,773.2,3998969,0.9989,35906,62002.9,40744000.0,8337,194900,12686.9,2951796387
29125,6.9857,200000,26015,994154,582344,26,2962,1419,797.9,4000912,0.999,35963,67208,43650200.0,8312,167939,11417.8,2953840402
29135,5.9251,200000,25735,994382,583095,26,2960,1419,849.1,4002061,0.999,35882,57873.7,36076100.0,8293,126977,9741.05,2954826771
29145,5.8117,200000,25799,994619,583592,26,2957,1427,779.0,4003000,0.9989,35835,64488.7,42583900.0,8290,150225,10976.7,2955708832
29155,5.8911,200000,25900,994859,583976,26,2955,1428,746.0,4003891,0.9989,35803,66436.3,42726900.0,8281,125320,10492.6,2956817569
29175,5.9042,200000,25919,995315,585046,26,2955,1428,803.3,4005852,0.9989,35833,67542.6,43957500.0,8275,128881,10787.8,2958784923
29185,6.1824,200000,25918,995552,585621,26,2952,1429,750.9,4007192,0.9989,35983,64244.1,40224800.0,8285,135581,12098.2,2959702997
29195,5.9193,200000,25923,995787,586122,26,2954,1424,753.3,4008280,0.9989,35931,66137.7,42539400.0,8267,171425,12042.2,2960768105
29215,6.047,200000,26026,996259,587122,26,2956,1426,801.2,4010461,0.9989,36042,61310.2,43059500.0,8277,151033,10614.7,2962838580
29225,6.8496,200000,25913,996487,587718,26,2953,1427,801.9,4011616,0.999,35816,60923.6,38004700.0,8278,131692,12079.2,2963856394
29235,5.573,200000,25917,996711,588250,26,2958,1428,748.8,4012676,0.999,35860,57783.2,37573500.0,8263,99733,9553.75,2964862151
29255,6.9461,199987,26045,997169,589126,26,2963,1428,776.6,4014812,0.999,35727,72516.6,48130200.0,8273,166695,11678.8,2966895186
29265,6.4647,199978,25851,997398,589837,26,2963,1428,804.1,4016002,0.9989,35646,56021.1,34458600.0,8309,147818,10048.2,2967813069
29275,6.1899,199979,25834,997637,590368,26,2964,1424,745.1,4017058,0.999,35868,63915.9,43408800.0,8315,157235,11049,2968875182
29285,6.5998,199983,25823,997864,590934,26,2962,1429,758.1,4018086,0.9989,35621,60983.7,37809900.0,8304,112472,10281.8,2969784525
29306,6.0077,199980,25885,998346,591907,26,2965,1426,804.2,4020131,0.999,35751,61478.7,40948900.0,8297,99365,10130.1,2971879611
29316,5.3464,199980,25762,998573,592517,26,2965,1424,760.7,4021262,0.9989,35730,57333.6,35096300.0,8290,130502,9551.97,2972840003
29336,6.4465,199962,25798,999044,593603,26,2966,1426,832.2,4023683,0.999,35882,65598.4,41746500.0,8202,113055,10373.2,2974901788
29346,5.9224,199959,25654,999273,594251,26,2967,1425,839.6,4024944,0.999,35875,58452.3,35609100.0,8189,104349,9430.23,2975894029
29356,6.1975,199960,25675,999500,594761,26,2966,1433,771.9,4026023,0.999,35825,66213.6,42027000.0,8177,162658,11254.7,2976887222
29377,6.3575,199954,25701,1000005,595748,26,2968,1431,815.5,4028214,0.9989,35816,63228.6,42542800.0,8209,132531,10627.9,2978866377
29387,6.6655,199947,25561,1000241,596404,27,2969,1429,831.7,4029309,0.999,35641,61647.7,38693100.0,8202,151609,10793.3,2979943439
29397,6.4639,199938,25599,1000480,596943,27,2968,1429,821.7,4030362,0.9989,35598,58044.4,38587900.0,8215,133760,10048.3,2980848645
29407,6.1726,199911,25589,1000732,597449,27,2968,1426,808.0,4031439,0.999,35464,63485.5,41104400.0,8203,155710,11092.4,2981909994
29418,6.4989,199930,25671,1000993,597893,27,2973,1425,753.4,4032582,0.999,35633,63803.2,41563400.0,8116,92941,9403.33,2982928679
29438,6.4366,199921,25622,1001448,599031,27,2974,1420,820.6,4034950,0.999,35651,63283,40830900.0,8087,130225,10524.9,2984947718
29449,5.7857,199902,25671,1001711,599560,27,2975,1421,756.9,4036015,0.999,35771,66867.8,42987600.0,8107,130522,11177.5,2985932526
29468,6.3391,199923,25671,1002157,600670,27,2975,1426,811.1,4038241,0.9989,35813,61308.9,41133500.0,8139,122349,10354.4,2987905371
29479,5.3965,199898,25726,1002428,601196,27,2971,1429,748.8,4039306,0.9989,35806,65733.3,41667500.0,8172,140861,10802.8,2988920324
29499,5.8053,199887,25606,1002899,602389,27,2974,1426,827.7,4041440,0.9989,35823,60984.4,40484600.0,8178,141836,9708.27,2990897525
29508,6.1721,199886,25538,1003127,603006,27,2973,1429,838.5,4042570,0.9989,35575,65028.2,41872400.0,8186,151084,12418.9,2991927715
29519,5.5519,199897,25530,1003398,603502,27,2970,1432,814.2,4043505,0.9989,35554,62976.5,43478800.0,8197,128234,10974.4,2992898205
29529,5.3821,199890,25506,1003606,604096,27,2971,1434,761.9,4044663,0.999,35628,60801.4,39174800.0,8201,164430,10141.8,2993983769
29550,6.2959,199892,25608,1004083,605087,27,2972,1435,807.4,4046693,0.999,35570,60158.4,39606500.0,8188,119160,10855.9,2995996185
29559,5.017,199888,25579,1004296,605595,27,2972,1439,795.5,4047772,0.9989,35524,65717.5,41849300.0,8195,184020,11206.6,2996924191
29570,7.0741,200000,25698,1004557,606311,27,2974,1440,786.4,4049281,0.999,35650,65339,43953400.0,8182,173661,11498.7,2997986885
29580,6.3801,199886,25644,1004796,606568,27,2971,1440,698.4,4049661,0.999,35620,58121.5,38813300.0,8195,129342,10472.6,2999015744
29600,7.0029,200000,25638,1005258,607949,27,2972,1444,831.6,4052575,0.999,35596,63103.5,40368700.0,8215,138566,10266.9,3001016187
29610,4.5714,200000,25615,1005501,608504,27,2968,1450,697.2,4053606,0.9989,35543,58702.6,38257700.0,8219,132873,11126.7,3002044498
29620,6.268,200000,25615,1005736,609105,27,2969,1449,726.4,4054753,0.999,35444,56683.6,36774600.0,8214,97536,8906.79,3003157835
29630,5.7379,200000,25584,1005966,609667,27,2966,1450,737.5,4055781,0.999,35434,63233.3,40862700.0,8222,148803,12484.2,3004204888
29640,6.4361,200000,25595,1006234,610174,27,2974,1446,737.5,4056856,0.9989,35694,64824.4,42620800.0,8256,118974,10591.5,3005117110
29660,6.5551,200000,25586,1006697,611287,27,2973,1447,831.0,4059243,0.999,35677,56079.3,37917500.0,8144,111923,9854.92,3007219620
